Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	rawp	BH
AT3G51450	-3.38621888769973	3.36692348902587	-22.1975729312257	2.00681398762484e-09	2.53221700209919e-06	12.0965322225853	9.40551388453059e-05	0.0344675491483895
AT3G51660	-2.44073294254041	2.67974298595445	-14.181224407267	1.19552456626827e-07	2.03070576647286e-05	8.34240626249796	0.000144743389660418	0.0344675491483895
AT3G54830	-2.93576258991825	2.50101429017798	-13.3423103883102	2.06623913804932e-07	2.75682306914052e-05	7.79152303638	0.000529046003493239	0.0379367349731012
AT3G55120	-2.33743480541515	2.35137430573904	-11.2761368203778	9.19451286067323e-07	6.92148300517384e-05	6.35256994309301	0.00234271355230797	0.0476052761461399
AT3G55240	-3.85434015066647	2.08547921489364	-13.1936490620787	2.28404188806754e-07	2.98140600738984e-05	7.57789895190365	0.00108390028751915	0.0410654818836892
AT3G55970	-3.05049034188941	2.12725067692447	-11.0568263222292	1.09245951450901e-06	7.55822251056391e-05	6.17034525437292	0.000990093507295065	0.040551338458344
AT3G56400	-2.19745783496626	3.25423186645705	-12.8881130974765	2.81558790325523e-07	3.34562548253171e-05	7.5137680859675	0.000987511206351321	0.040551338458344
AT3G57460	-5.85934529641421	-1.10930695872228	-7.20573119115036	4.08068383407021e-05	0.000787343376719965	2.45043683117102	0.00254526599836113	0.0481753000043669
AT3G57960	-2.08501239972468	-4.09186319487019	-3.85189479312162	0.00360757315178128	0.016685891669733	-1.55158122345741	0.00223243763350256	0.0470605667562059
AT3G58990	-2.62663852633876	3.92965073171897	-14.5506568149385	9.48380200750675e-08	1.79032381785983e-05	8.59178432243664	0.000590500490941004	0.0379367349731012
AT3G60966	-3.9166684733085	-3.18014320574018	-6.94546034726718	5.48194006996578e-05	0.000934751917464306	1.94974729576713	0.00190479915869979	0.0461813231787855
AT4G01080	-3.55306530388016	1.36398848717113	-10.7891210526523	1.35386964888821e-06	8.65293611681771e-05	5.86249603443444	0.000576518295008821	0.0379367349731012
AT4G01380	-2.2344211093227	0.343142963422635	-7.23359815085461	3.95553212192389e-05	0.000773825020259581	2.67013988451529	0.0010848304520561	0.0410654818836892
AT4G02780	-2.61065721555188	-1.57799845619168	-6.19385371696753	0.000134561675225105	0.00167653270612914	1.4306068349322	0.00196897492323167	0.0466671713021402
AT4G04330	-2.98809853687026	4.39001179087083	-13.6075552911909	1.73224384207123e-07	2.46578020713165e-05	7.96442462795177	0.0014480583526888	0.0427498475219547
AT4G04835	-2.68436322166931	-2.20871911509206	-5.95068645229176	0.00018270693229535	0.00206722613588229	1.10496892826027	0.00120871950237023	0.0413595138709562
AT4G04840	-3.12047570439891	4.76513694556901	-17.7213161090716	1.5850250511291e-08	6.93966028775954e-06	10.375339077779	0.00105693326997613	0.0407555695209585
AT4G11280	-2.56490759605723	3.81205357845672	-18.3359080880549	1.16077777606697e-08	5.91505567504282e-06	10.6596442461389	0.000339379188099009	0.0370044186859767
AT4G11460	-5.25660472257029	-2.52780851526834	-8.4062114136635	1.1488715123188e-05	0.000340523460105408	3.21898483518453	0.00133819657565004	0.0419695773107669
AT4G12030	-2.92298738747394	3.77828191608854	-16.4568481931497	3.11118506303154e-08	9.81430735716782e-06	9.69709919294604	0.00068766805514775	0.0382008975373272
AT4G12830	-2.02769223158385	2.7437457006151	-11.3559347471733	8.64171482816708e-07	6.61815489932865e-05	6.40417282586834	0.00164385983934912	0.0444561208658347
AT4G13410	-6.81300682583576	-1.7451019062182	-9.38062920702322	4.53992708312062e-06	0.000193436334026389	4.00664143955512	0.000543644472416727	0.0379367349731012
AT4G13575	-2.67639756716451	3.8880254878158	-13.6556763753399	1.67827564584693e-07	2.44345868481604e-05	8.01668187029577	0.000889559565347309	0.0398736389197143
AT4G13770	-2.49569344267531	5.82125517176219	-13.1100859705048	2.41748907924612e-07	3.09461959525912e-05	7.53906030108015	0.0024380980570653	0.0477492404405885
AT4G14400	-5.95987620893065	1.59458842480321	-8.71969132238056	8.44540713980456e-06	0.000278341291530524	4.11382748877232	0.000864690759597497	0.0397964638909443
